# Rime user dictionary
#@/db_name	sadfesKzaVassuk.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	514
#@/user_id	56730ff0-27cf-4b75-93af-e031cab1c7c4
motee gjkhd 	沒學	c=1 d=1 t=86
mzaic bbffc 	麻煩	c=1 d=1 t=108
naasl aywH; 	那種	c=7 d=5.04733 t=453
naasl itqao 	那是	c=1 d=1 t=421
naasl kazor 	那個	c=5 d=3.4044 t=314
naasl msaii 	那麼	c=8 d=4.66479 t=445
naasl onqtu 	那首	c=1 d=1 t=345
naasl yhnot 	那位	c=5 d=4.95037 t=192
naasl znzyu 	那就	c=2 d=1.72253 t=249
naftg inqbe 	難受	c=1 d=1 t=173
naftg klzp; 	難句	c=0 d=0.1 t=391
ncrJo ggroq 	軟件	c=1 d=1 t=136
nldws sgshm 	男生	c=3 d=2.97516 t=158
ntfbf clkBn 	然則	c=1 d=1 t=48
ntfbf guz<e 	然後	c=5 d=2.45032 t=478
onqq; kjhdi 	手機	c=1 d=1 t=135
oqqor 	舍	c=1 d=1 t=308
ottxe tkzWm 	設置	c=1 d=1 t=112
oyye; bgsmj 	水平	c=1 d=1 t=154
pbtne suxnl 	發送	c=2 d=1.53794 t=216
pbxYk xinyd 	放棄	c=1 d=1 t=104
pitp; spaMl 	必需	c=1 d=1 t=379
pmam; bmqhc 	不負	c=1 d=1 t=475
pmam; clnmb 	不再	c=2 d=1.99501 t=455
pmam; cykro 	不足	c=1 d=1 t=179
pmam; cykro daunl 	不足道	c=1 d=1 t=495
pmam; dlzog 	不住	c=1 d=1 t=182
pmam; dsrpl 	不斷	c=2 d=1.82283 t=336
pmam; dusbr 	不同	c=4 d=3.4489 t=365
pmam; eytu; 	不出	c=1 d=1 t=459
pmam; fzzpa 	不怕	c=1 d=1 t=181
pmam; gdwg; 	不幸	c=3 d=2.22531 t=386
pmam; gjkhd 	不學	c=1 d=1 t=267
pmam; gkpne kzkdr 	不及格	c=1 d=1 t=128
pmam; gkvom 	不僅	c=2 d=1.48919 t=338
pmam; gsboa 	不會	c=7 d=3.91942 t=385
pmam; hauvd 	不好	c=2 d=1.34819 t=447
pmam; kaemk 	不敢	c=1 d=1 t=354
pmam; kevbu 	不見	c=2 d=1.97045 t=408
pmam; kjkhu 	不覺	c=1 d=1 t=346
pmam; kozhc 	不顧	c=1 d=1 t=261
pmam; ksznl 	不過	c=5 d=3.47813 t=403
pmam; leun; 	不了	c=1 d=1 t=42
pmam; nifom 	不仁	c=2 d=1.99005 t=490
pmam; nlsip 	不能	c=13 d=6.38234 t=507
pmam; oixbs 	不勝	c=1 d=1 t=351
pmam; otuf; nifo; 	不少人	c=2 d=1.99005 t=476
pmam; pgvvk 	不變	c=4 d=3.95536 t=18
pmam; qavqv 	不按	c=1 d=1 t=231
pmam; qksip 	不應	c=1 d=1 t=413
pmam; qtmmv 	不要	c=3 d=1.38933 t=384
pmam; spaMl qtmmv 	不需要	c=1 d=1 t=274
pmam; tammn 	不到	c=1 d=1 t=230
pmam; tgaor 	不知	c=4 d=3.3586 t=349
pmam; tgaor daunl 	不知道	c=4 d=1.69527 t=487
pmam; tlk<i 	不得	c=4 d=3.6707 t=292
pmam; tlk<i pmam; 	不得不	c=1 d=1 t=299
pmam; tuwpg 	不懂	c=1 d=1 t=237
pmam; wsbny 	不外	c=1 d=1 t=456
pmam; xavhu 	不看	c=2 d=1.37344 t=198
